,X1,X2,Y1,Y2,EG.5.1
X1,1.0,42.18396916477538,146.16913618476147,352.7110305564742,598.3965632086666
X2,42.18396916477538,1.0,148.7051976821907,352.7110305564742,601.6100147265904
Y1,146.16913618476147,148.7051976821907,1.0,489.8285869428231,632.8750362241306
Y2,352.7110305564742,352.7110305564742,489.8285869428231,1.0,607.0954114247118
EG.5.1,598.3965632086666,601.6100147265904,632.8750362241306,607.0954114247118,1.0
