,X1,X2,Y1,Y2,EG.5.1
X1,1.0,55.12015583551111,208.93129775338974,500.769380676921,915.5565479021099
X2,55.12015583551111,1.0,284.3391092883789,500.769380676921,1040.2366393956117
Y1,208.93129775338974,284.3391092883789,1.0,639.4912854736629,1013.6658350809407
Y2,500.769380676921,500.769380676921,639.4912854736629,1.0,1040.2429813702643
EG.5.1,915.5565479021099,1040.2366393956117,1013.6658350809407,1040.2429813702643,1.0
